Name,Type,Capacity,Location 1
Sports Barn,Inverted U,2,"(35.05331, -85.3098)"
YMCA,,,"(35.0499, -85.31309)"
Creative Discovery Museum,Inverted U,2,"(35.05274, -85.31188)"
Ayrshire Apartments,Post and Ring,2,"(35.04707, -85.30521)"
TN State Building,Post and Ring,2,"(35.04639, -85.30319)"
Auditorium,Post and Ring,2,"(35.04745, -85.30532)"
Wellness Center,,,"(35.0433, -85.30554)"
The Social,Post and Ring,2,"(35.04244, -85.30892)"
North Chattanooga Post Office,,,"(35.06382, -85.30863)"
St Andrews Center/TN Temple,,,"(35.03298, -85.27781)"
East Lake Rec Center,,,"(35.00008, -85.28281)"
Marco's Italian Restaurant,Post and Ring,2,"(35.06145865824378, -85.30393217402045)"
Chattanooga City Courthouse,,,"(35.05051, -85.30866)"
Eastside Elementary,,,"(35.02381, -85.27507)"
Barking Legs Theater,,,"(35.02375, -85.26874)"
Sluggo's,Inverted U,2,"(35.06717, -85.31508)"
Stroud's Coffee,Post and Ring,2,"(35.04164, -85.3098)"
Business Development Center,,,"(35.063504354192936, -85.31045936340699)"
Lincoln Apartments,,,"(35.05288, -85.30538)"
Cold Stone,Inverted U,2,"(35.05547, -85.31277)"
IMAX,Inverted U,2,"(35.05451, -85.31199)"
EPB,Post and Ring,,"(35.04519, -85.31023)"
Bluegrass Grill,Pi,2,"(35.03566, -85.30588)"
Downtown Library,Wave,6,"(35.044482018355005, -85.31054593015074)"
UTC Place 3000,Wave,5,"(35.04371, -85.30054)"
Lockmiller Apts under stairs,,2,"(35.04462, -85.29631)"
University Center Bookstore,Wave,4,"(35.04836, -85.29771)"
CVB,Post and Ring,,"(35.04734, -85.3094)"
40th St. Park,Wave,3,"(35.00882204673107, -85.32579606338759)"
United Way,Post and Ring,,"(35.04853, -85.30939)"
Smart Furniture,Comb,3,"(35.06272, -85.31425)"
Pasha Coffee and Tea,Hoop,,"(35.00997, -85.3283)"
Davenport Hall,Wave,4,"(35.04731, -85.30209)"
Crashpad Flying Squirrel,Custom,16,"(35.03581902667393, -85.30465860435378)"
Pilgrim's Pride,Comb,6,"(35.03671, -85.31188)"
Taco Mac,Wave,4,"(35.05148, -85.30987)"
UTC Place 300,Wave,5,"(35.04398, -85.30037)"
Maclellan Gym Vine St.,Wave,4,"(35.04786, -85.29977)"
Mellow Mushroom,Wave,5,"(35.05431, -85.31105)"
Pickle Barrel,Pi,2,"(35.04432132845894, -85.30921943429193)"
First Tennessee Bank,Comb,6,"(35.04819, -85.30969)"
Sidewalk in front of Dollar General,Hoop,,"(35.02372, -85.24516)"
Chattz Coffee,Pi,2,"(35.04453, -85.30924754743354)"
Transit Stop,Hoop,,"(35.02401, -85.24638)"
Big Chill,Post and Ring,2,"(35.06367455941586, -85.31030237674713)"
Johnson Apt Plaza,Wave,4,"(35.04831, -85.30298)"
Hill City Pizza,Hoop,6,"(35.06214360581163, -85.30826619723373)"
Rembrandts,Post and Ring,,"(35.05449, -85.30535)"
Lockmiller,Wave,4,"(35.04487, -85.29626)"
La Altena,Post and Ring,2,"(35.03737131664762, -85.3108012676239)"
The Jefferson,Post and Ring,,"(35.05076, -85.3037)"
Administrative Service Bldg,Wave,4,"(35.04732, -85.29363)"
Panera Bread,Post and Ring,,"(35.05167, -85.30977)"
1885 Grill,Hoop,,"(35.0099, -85.32812)"
Miller Plaza Cherry St,Post and Ring,,"(35.04612, -85.30846)"
City Cafe - MLK & Chestnut,Post and Ring,,"(35.04526, -85.31198)"
Outdoor Chattanooga,Various,14,"(35.06143, -85.30659)"
Times Free Press,Post and Ring,,"(35.04198, -85.30461)"
Chatt. Electric Bikes,Wave,3,"(35.06256675019621, -85.30690485498297)"
Proctor Field,Wave,16,"(35.05005, -85.29988)"
Johnson Apts. Vine St.,Wave,4,"(35.04864, -85.30278)"
Riverwalk,Wave,10,"(35.09749203952791, -85.25242026671131)"
Miller Plaza,Various,16,"(35.04608055519845, -85.30919468934876)"
TVA,Inverted U,6,"(35.04281, -85.30962)"
UC Plaza,Wave,8,"(35.04735, -85.29781)"
Frist Hall,Wave,4,"(35.04731, -85.30263)"
Taziki's/Johnson Group,Post and Ring,,"(35.05117, -85.30947)"
North Chatt Cat,Post and Ring,,"(35.06178844361038, -85.30513750104265)"
TVA,Inverted U,10,"(35.04240689460887, -85.30931532382965)"
Boling Apartments,Wave,4,"(35.04864, -85.30063)"
TN Bouldering Authority,Hoop,,"(35.01091, -85.32828)"
Boccaccia,Wave,3,"(35.02187, -85.32055)"
Terra Nostra Frazier Ave,Post and Ring,2,"(35.06258584089272, -85.30743980070508)"
Shuttle Park South,Wave,4,"(35.03795, -85.30689)"
Coolidge,Wave,9,"(35.06176, -85.30682)"
Gaslight Cafe,Pi,4,"(35.04932, -85.30973)"
Suntrust Bank,Post and Ring,,"(35.062724045640195, -85.309008927121)"
Center Med Spa,Pi,4,"(35.034663439704865, -85.30371755361557)"
green|spaces,Pi,2,"(35.03553, -85.30536)"
South Chattanooga Recreation,Wave,8,"(35.00855, -85.3229)"
Riverwalk @ The Boathouse,Wave,2,"(35.05486, -85.28401)"
Bretske Hall,Wave,4,"(35.04602, -85.29889)"
Mojo Burrito,Hoop,,"(35.01053, -85.32853)"
TVA,Inverted U,10,"(35.04267, -85.31116)"
UT College of Medicine,Hoop,,"(35.04773, -85.29067)"
Well Advantage Center,Wave,8,"(35.04072928811961, -85.30239860846217)"
City Hall Annex,Pi,2,"(35.0432, -85.30769)"
Walgreens,Comb,3,"(35.063036925480176, -85.30847921715505)"
Lockmiller under stairs,,2,"(35.04444, -85.29588)"
Food Works,Post and Ring,,"(35.06287008151236, -85.311975854736)"
Shadowbox,Pi,2,"(35.0356, -85.3061)"
Middle of Lockmiller Apts,Wave,4,"(35.04453, -85.2961)"
UC across from Maclellan Gym,Wave,4,"(35.04797, -85.29916)"
Sticky Fingers,Pi,2,"(35.0515, -85.31045)"
Big River,Pi,2,"(35.05384, -85.31051)"
UTC Place 3000,Wave,4,"(35.04376, -85.30093)"
Urban League - MLK & Peeples,Post and Ring,,"(35.04219, -85.29918)"
Ankar's,Inverted U,2,"(35.05011, -85.31039)"
Public House - Market & 12th,Post and Ring,,"(35.04218, -85.30855)"
Hart Gallery,Pi,2,"(35.035381595860926, -85.30553877353668)"
Hooper Hall,Wave,4,"(35.04612, -85.29961)"
Target,Comb,7,"(35.02462, -85.15577)"
Regions,Wave,3,"(35.062389956424, -85.30473478432684)"
Georgia Ave - office,Comb,3,"(35.05181, -85.30507)"
EMCS Vine St.,Wave,4,"(35.04614, -85.29523)"
Convention Center,Wave,3,"(35.04279, -85.31311)"
McCallie Ave,Wave,8,"(35.0452, -85.29974)"
Yellow Deli,Post and Ring,,"(35.0444, -85.29712)"
Alleia,Pi,2,"(35.03601, -85.30677)"
Olde Town Brainerd,Hoop,,"(35.0275, -85.25481)"
Brock Hall,Wave,4,"(35.04701, -85.29807)"
1st Tennessee Pavilion - Reggie White Blvd.,Hoop,8,"(35.03686, -85.31674)"
Regions Broad St,Post and Ring,,"(35.04915, -85.30991)"
Holder Concessions,Hoop,,"(35.02592, -85.27635)"
Champy's,Post and Ring,,"(35.04334, -85.30215)"
Battle Academy,Inverted U,10,"(35.0359, -85.30795)"
Tremont Tavern,Hoop,,"(35.069476752586596, -85.28942347793871)"
Development Resource Center,Pi,6,"(35.04087690941422, -85.30761879408793)"
Jimmy John's - 10th and Market,Post and Ring,,"(35.045, -85.30956)"
Blue Water,Bike Corral,10,"(35.05381, -85.31072)"
Meeting Place,Post and Ring,,"(35.03994, -85.30759)"
City Hall,Inverted U,4,"(35.043307248715436, -85.30712127685547)"
Norhshore Grille/Leo,Post and Ring,,"(35.06248, -85.30787)"
Library Entrance,Wave,4,"(35.04648, -85.29771)"
Urban Stack,Wave,5,"(35.03928, -85.30881)"
Hunter Hall,Wave,4,"(35.04588, -85.29873)"
BCBS,Wave,,"(35.0522, -85.31805)"
Holt Hall across UC,Wave,4,"(35.04779, -85.29724)"
Park,Wave,4,"(35.04372, -85.30042)"
Boling Apartments Vine St.,Wave,4,"(35.04852, -85.30142)"
TVA,Inverted U,8,"(35.04242, -85.31045)"
St Andrews Center/Tn Temple,Hoop,,"(35.03196, -85.27683)"
Hair of the Dog,Comb,8,"(35.05254, -85.30944)"
Maclellan Gym Douglas St.,Wave,4,"(35.0485, -85.29984)"
U.S. Post Office,Post and Ring,2,"(35.04487745947821, -85.30866327222965)"
Fletcher Hall East entrance,Wave,8,"(35.04612, -85.30063)"
Boathouse,Wave,2,"(35.055, -85.2837)"
Trek Store,Wave,7,"(35.06234, -85.31461)"
Bi-lo/St. Elmo Plaza,Comb,3,"(35.01015, -85.32618)"
21 Knots,Pi,2,"(35.03652, -85.30746)"
Downtown Fellowship,Post and Ring,,"(35.04293, -85.30648)"
Chad's Records,Post and Ring,,"(35.04927, -85.30397)"
Starbucks,Post and Ring,,"(35.04607, -85.31072)"
Stone Cup,Custom,6,"(35.06182136085342, -85.30553577411922)"
Cycle Sport Concepts,Custom,5,"(35.03353, -85.30072)"
Honest Pint - Patten pky,Pi,2,"(35.04604, -85.30669)"
Courthouse,Comb,4,"(35.04932, -85.30662)"
Aretha Frankenstein's,Hoop,,"(35.066990736742184, -85.29875853901875)"
Transit stop,Pi,2,"(35.05063, -85.30933)"
Johnson Apts. Lawson Ctr,Wave,4,"(35.04788, -85.30225)"
Main Terrain Park,Bike Shelter,8,"(35.04010081313865, -85.31132332566602)"
Roy H. Nelms Park,Hoop,6,"(35.00668189666603, -85.32969089922558)"
Lockmiller under stairs,,2,"(35.04458, -85.29573)"
Lockmiller Apts under stairs,,2,"(35.04462, -85.29595)"
St Andrews Center/Tn Temple,Hoop,,"(35.03197, -85.27491)"
McCallie Ave,Wave,8,"(35.04502, -85.29936)"
1 North Shore,Inverted U,8,"(35.06265871044972, -85.31230983042525)"
1 North Shore,Inverted U,8,"(35.06265871044972, -85.31230983042525)"
Cardiac Hill,Wave,4,"(35.04647, -85.29811)"
EPB Market St.,Post and Ring,,"(35.04562, -85.30957)"
EPB,Post and Ring,,"(35.04556, -85.31023)"
Niko's,Wave,3,"(35.03838, -85.30922)"
Terminal,Bike Shelter,8,"(35.03662, -85.30684)"
Grocery Bar,Bike Corral,8,"(35.03649285869725, -85.30848652124405)"
S. chattanooga Library,Wave,3,"(35.00854, -85.32061)"
Johnson Apts. Houston St.,Wave,4,"(35.04805, -85.30337)"
Niedlov's,Pi,4,"(35.03522, -85.30468)"
Erlanger Transit Stop,Hoop,,"(35.04831, -85.29167)"
212 Market,Pi,2,"(35.05438, -85.30957)"
East Lake Academy,Comb,5,"(35.00271, -85.28105)"
Frist parking lot,Wave,4,"(35.0475, -85.30319)"
McCallie Ave,Wave,8,"(35.04525, -85.3002)"
